Date,Sleep score,Resting heart rate,Body Battery,Breaths per minute (during sleep),HRV-status,DeepSleep,REM sleep (mins),Restless moments,Duration (mins),Bed-time,Wakeup-time,Steps,Calories,Weight (in kilograms),Max HR,Run (kms),Ride (kms),Minutes intense exercise,AvgTemp_C,MinTemp_C,MaxTemp_C,Sunrise,Sunset,Humidity_Max,Humidity_Avg,Humidity_Min,WindSpeed_Max,WindSpeed_Avg,WindSpeed_Min,Pressure_Max,Pressure_Avg,Pressure_Min,Precipitation_mm,DayOfWeek,IsWeekend,Sleep_Efficiency,REM_Sleep_Ratio,Sleep_Quality_Score,HR_Recovery_Score,Temp_Comfort_Index,Humidity_Comfort_Index,Weather_Stability,Sleep_Battery_Interaction,HRV_HR_Ratio,Breathing_Sleep_Quality,BedTimeMinutes,SunsetMinutes,WakeTimeMinutes,SunriseMinutes,MinutesAfterSunset,BedtimeCategory_Early,BedtimeCategory_Late,BedtimeCategory_On Time,Sleep_Duration_Category_Long,Sleep_Duration_Category_Normal,Sleep_Duration_Category_Short,Sleep_Duration_Category_Very_Long
2025-01-01,73,58,44.0,12,29,48,48,46,466,2:59 AM,11:03 AM,9295,2627,76.3,119,0.0,0.0,30,8.0,6.0,9.0,08:50,16:37,93.0,85.0,76.0,61.0,42.3,17.0,1015.5,1008.2,1002.5,21.0,2,0,0.2060085836909871,0.1030042918454935,54.10000000000001,42,38.33333333333334,30.666666666666657,84.72474768348053,23.80400000000001,0.5,4.508333333333334,179,997,663,530,622,False,True,False,False,True,False,False
2025-01-02,83,56,44.0,12,30,86,77,46,518,10:16 PM,7:01 AM,11470,3070,76.3,168,1.01,0.0,19,3.6,1.0,6.0,08:50,16:39,93.0,84.3,76.0,22.0,11.5,2.0,1017.5,1013.3,1007.5,3.2,3,0,0.3146718146718146,0.1486486486486486,58.400000000000006,44,17.666666666666657,31.13333333333333,74.99333422198526,25.696000000000005,0.5357142857142857,4.866666666666667,1336,999,421,530,337,False,False,True,True,False,False,False
2025-01-03,67,57,44.0,12,31,20,46,46,471,10:48 PM,7:01 AM,12183,2905,76.3,123,0.0,0.0,15,2.9,1.0,5.0,08:50,16:40,93.0,83.1,61.0,35.0,17.7,2.0,1020.5,1018.0,1016.5,2.1,4,0,0.1401273885350318,0.0976645435244161,52.3,43,14.833333333333345,41.93333333333334,79.99166840205477,23.011999999999997,0.543859649122807,4.358333333333333,1368,1000,421,530,368,False,False,True,False,True,False,False
2025-01-04,81,58,59.0,12,32,63,92,46,460,10:51 PM,6:50 AM,13870,2661,76.3,130,0.0,0.0,8,2.3,0.0,4.0,08:49,16:41,100.0,92.9,87.0,24.0,13.3,6.0,1021.5,1017.1,1009.5,1.8,5,1,0.3369565217391304,0.2,58.2,42,10.5,13.400000000000006,79.92514010011527,34.337999999999994,0.5517241379310345,4.85,1371,1001,410,529,370,False,False,True,False,True,False,False
2025-01-05,81,55,65.0,12,34,35,82,46,489,10:51 PM,7:06 AM,7652,2834,76.6,136,0.0,9.1,64,4.8,0.0,12.0,08:49,16:42,100.0,95.2,81.0,41.0,25.4,11.0,1009.5,994.5,986.5,21.2,6,1,0.2392638036809816,0.1676891615541922,58.8,45,28.0,15.866666666666674,39.601324517834,38.22,0.6181818181818182,4.8999999999999995,1371,1002,426,529,369,False,False,True,True,False,False,False
2025-01-06,87,54,59.0,13,35,91,109,46,490,10:42 PM,7:01 AM,7936,2627,77.1,119,0.0,0.0,0,9.1,5.0,12.0,08:49,16:44,94.0,82.4,70.0,67.0,38.6,28.0,991.5,983.2,974.5,2.0,0,0,0.4081632653061224,0.2224489795918367,61.5,46,43.50000000000001,35.73333333333332,64.82898920986204,36.285,0.6481481481481481,4.730769230769231,1362,1004,421,529,358,False,False,True,True,False,False,False
2025-01-07,77,57,58.0,12,36,89,51,46,479,10:39 PM,7:02 AM,7525,3411,76.4,160,0.0,13.63,103,4.2,3.0,6.0,08:48,16:45,93.0,85.2,65.0,37.0,25.4,17.0,999.5,996.0,991.5,2.3,1,0,0.2922755741127348,0.1064718162839248,57.8,43,22.0,37.866666666666674,84.9003311294585,33.523999999999994,0.631578947368421,4.816666666666666,1359,1005,422,528,354,False,False,True,False,True,False,False
2025-01-08,76,55,51.0,12,37,41,91,46,444,11:06 PM,6:56 AM,11443,3355,76.1,147,0.0,18.29,138,3.6,2.0,5.0,08:48,16:46,100.0,81.0,70.0,43.0,16.5,4.0,1003.5,1001.0,998.5,0.0,2,0,0.2972972972972973,0.2049549549549549,57.7,45,17.666666666666657,32.66666666666666,84.98889300106973,29.427000000000003,0.6727272727272727,4.808333333333334,1386,1006,416,528,380,False,True,False,False,True,False,False
2025-01-09,79,57,63.0,12,37,65,110,46,512,11:02 PM,8:28 AM,6483,3261,75.5,172,0.0,14.0,130,2.5,1.0,5.0,08:47,16:48,100.0,85.5,61.0,31.0,14.5,2.0,1011.5,1003.4,998.5,3.0,3,0,0.341796875,0.21484375,58.9,43,14.166666666666655,35.66666666666666,79.7927405783631,37.107,0.6491228070175439,4.908333333333333,1382,1008,508,527,374,False,True,False,True,False,False,False
2025-01-10,66,60,43.5,12,37,54,49,46,441,11:20 PM,7:00 AM,18085,3837,76.2,144,0.0,0.0,144,2.8,-2.0,5.0,08:46,16:49,100.0,85.0,70.0,28.0,14.1,0.0,1021.5,1017.0,1011.5,1.7,4,0,0.2335600907029478,0.1111111111111111,53.7,40,9.666666666666671,30.0,64.2042833102432,23.359500000000004,0.6166666666666667,4.4750000000000005,1400,1009,420,526,391,False,True,False,False,True,False,False
2025-01-11,48,60,24.0,13,35,70,0,46,294,1:55 AM,7:00 AM,9621,3015,75.7,156,2.0,4.0,99,0.7,-4.0,7.0,08:46,16:51,100.0,89.9,71.0,20.0,7.2,0.0,1033.5,1027.2,1021.5,0.4,5,1,0.238095238095238,0.0,45.900000000000006,40,6.166666666666671,26.06666666666669,44.80640133735314,11.016000000000002,0.5833333333333334,3.530769230769231,115,1011,420,526,544,False,True,False,False,False,True,False
2025-01-12,87,55,58.0,12,34,103,109,46,464,11:09 PM,7:00 AM,8236,2393,76.2,112,0.0,0.0,9,2.8,0.0,7.0,08:45,16:52,100.0,85.9,66.0,11.0,5.6,2.0,1042.5,1038.7,1033.5,0.0,6,1,0.4568965517241379,0.2349137931034483,61.2,45,16.33333333333333,32.06666666666666,64.76743930206983,35.496,0.6181818181818182,5.1000000000000005,1389,1012,420,525,377,False,True,False,False,True,False,False
2025-01-13,88,54,71.0,13,34,103,154,46,659,7:39 PM,7:01 AM,10670,3318,76.45,150,0.0,4.8,79,0.9,-2.0,5.0,08:44,16:54,100.0,86.3,65.0,20.0,11.0,2.0,1042.5,1040.8,1036.5,0.0,0,0,0.3899848254931715,0.2336874051593323,61.60000000000001,46,6.5,32.46666666666667,64.82898920986204,43.736,0.6296296296296297,4.738461538461539,1179,1014,421,524,165,True,False,False,False,False,False,True
2025-01-14,61,60,41.0,12,34,61,18,46,387,12:07 AM,7:01 AM,11209,3522,76.7,167,3.0,15.56,137,4.0,-1.0,8.0,08:43,16:55,100.0,91.3,80.0,30.0,15.9,7.0,1036.5,1033.8,1032.5,0.5,1,0,0.2041343669250646,0.0465116279069767,50.8,40,18.333333333333343,19.13333333333333,54.90750247177105,20.827999999999996,0.5666666666666667,4.233333333333333,7,1015,421,523,432,False,True,False,False,True,False,False
2025-01-15,80,52,52.0,12,34,65,83,46,467,10:59 PM,7:01 AM,9254,3271,76.7,136,0.0,18.68,105,6.9,5.0,8.0,08:42,16:57,100.0,98.8,93.0,11.0,6.2,2.0,1035.5,1033.7,1032.5,0.0,2,0,0.3169164882226981,0.1777301927194861,58.400000000000006,48,33.16666666666666,5.466666666666669,84.82326341622372,30.368,0.6538461538461539,4.866666666666667,1379,1017,421,522,362,False,False,True,False,True,False,False
2025-01-16,90,55,51.0,11,34,53,115,46,474,11:00 PM,7:01 AM,12215,3157,75.7,169,3.0,8.0,125,4.3,2.0,7.0,08:42,16:58,100.0,99.0,93.0,20.0,10.8,0.0,1037.5,1036.4,1034.5,0.0,3,0,0.3544303797468354,0.2426160337552742,62.400000000000006,45,22.16666666666667,5.333333333333343,74.97334754040537,31.824,0.6181818181818182,5.672727272727273,1380,1018,421,522,362,False,False,True,False,True,False,False
2025-01-17,86,57,50.0,13,34,60,133,46,481,10:48 PM,6:55 AM,13854,3187,75.9,158,0.0,4.0,124,0.6,0.0,1.0,08:41,17:00,100.0,100.0,100.0,17.0,8.9,2.0,1038.5,1037.2,1036.5,0.0,4,0,0.4012474012474012,0.2765072765072765,60.8,43,2.6666666666666714,0.0,94.96677704315285,30.4,0.5964912280701754,4.676923076923076,1368,1020,415,521,348,False,False,True,True,False,False,False
2025-01-18,74,60,38.0,12,35,38,66,46,423,11:08 PM,6:19 AM,12014,3188,76.9,136,0.0,7.91,89,-1.0,-2.0,0.0,08:40,17:02,100.0,99.4,93.0,15.0,9.1,2.0,1036.5,1031.8,1027.5,0.0,5,1,0.2458628841607565,0.1560283687943262,56.3,40,-5.0,5.066666666666691,90.0,21.394,0.5833333333333334,4.691666666666666,1388,1022,379,520,366,False,False,True,False,True,False,False
2025-01-19,74,52,48.0,12,35,49,131,46,573,10:47 PM,8:48 AM,10168,2480,77.2,107,0.0,0.0,15,-0.7,-1.0,0.0,08:38,17:03,100.0,96.3,93.0,11.0,6.1,2.0,1027.5,1023.6,1021.5,0.0,6,1,0.3141361256544502,0.2286212914485166,56.3,48,-2.8333333333333286,7.133333333333326,94.86839856055312,27.023999999999997,0.6730769230769231,4.691666666666666,1367,1023,528,518,344,False,False,True,True,False,False,False
2025-01-20,88,55,62.0,12,35,44,117,46,484,10:58 PM,7:03 AM,12384,2857,77.2,172,3.0,0.0,63,0.3,-1.0,1.0,08:37,17:05,100.0,95.0,93.0,17.0,12.5,0.0,1021.5,1019.3,1018.5,0.0,0,0,0.3326446280991735,0.2417355371900826,61.900000000000006,45,0.5,8.0,89.85110843490779,38.378,0.6363636363636364,5.158333333333334,1378,1025,423,517,353,False,False,True,True,False,False,False
2025-01-21,85,57,53.0,12,36,75,94,46,461,10:45 PM,7:01 AM,9945,4217,77.4,158,0.0,24.45,262,0.3,0.0,1.0,08:36,17:07,100.0,98.8,93.0,20.0,14.7,9.0,1018.5,1015.9,1011.5,0.0,1,0,0.3665943600867679,0.2039045553145336,61.0,43,2.1666666666666714,5.466666666666669,94.86839856055312,32.33,0.631578947368421,5.083333333333333,1365,1027,421,516,338,False,False,True,False,True,False,False
2025-01-22,61,60,31.0,12,36,54,66,46,402,11:42 PM,6:55 AM,9028,3258,78.2,161,1.0,14.56,103,1.8,-1.0,4.0,08:35,17:09,100.0,96.8,87.0,15.0,9.2,6.0,1011.5,1004.4,999.5,4.4,2,0,0.2985074626865671,0.1641791044776119,51.4,40,8.0,10.799999999999985,74.94007182771666,15.934,0.6,4.283333333333333,1422,1029,415,515,393,False,True,False,False,True,False,False
2025-01-23,74,60,34.5,13,35,50,41,46,453,11:12 PM,7:01 AM,8722,2984,78.2,154,0.0,0.0,72,5.5,4.0,7.0,08:34,17:10,100.0,88.3,81.0,33.0,22.2,7.0,1005.5,1002.2,998.5,3.1,3,0,0.2008830022075055,0.0905077262693156,56.3,40,27.5,20.46666666666667,85.0,19.4235,0.5833333333333334,4.3307692307692305,1392,1030,421,514,362,False,False,True,False,True,False,False
2025-01-24,69,61,38.0,13,34,41,43,46,433,11:23 PM,7:01 AM,6567,3082,77.8,134,0.0,0.0,47,7.5,5.0,9.0,08:32,17:12,93.0,88.7,81.0,43.0,28.9,15.0,1003.5,1000.0,996.5,5.3,4,0,0.1939953810623556,0.0993071593533487,54.0,39,35.83333333333334,24.86666666666667,79.7927405783631,20.52,0.5573770491803278,4.153846153846154,1403,1032,421,512,371,False,True,False,False,True,False,False
2025-01-25,46,61,22.0,14,33,73,55,46,442,11:29 PM,7:31 AM,6312,2612,77.4,123,0.0,0.0,12,5.3,2.0,8.0,08:31,17:14,100.0,89.7,71.0,24.0,11.3,2.0,1008.5,1004.0,999.5,0.3,5,1,0.2895927601809955,0.1244343891402715,44.5,39,25.5,26.200000000000017,69.95004159736656,9.79,0.5409836065573771,3.1785714285714284,1409,1034,451,511,375,False,True,False,False,True,False,False
2025-01-26,90,54,76.0,12,34,102,95,46,503,12:07 AM,8:43 AM,10381,2887,77.8,135,0.0,0.0,39,3.5,2.0,6.0,08:30,17:16,100.0,87.7,76.0,43.0,19.7,0.0,1008.5,1003.2,991.5,9.0,6,1,0.3916500994035785,0.1888667992047713,62.400000000000006,46,19.166666666666657,24.200000000000017,79.7927405783631,47.42400000000001,0.6296296296296297,5.2,7,1036,523,510,411,False,True,False,True,False,False,False
2025-01-27,80,59,51.0,12,32,47,86,46,521,11:20 PM,8:12 AM,15231,3083,78.35,171,4.0,0.0,70,8.6,6.0,11.0,08:28,17:18,100.0,79.7,66.0,43.0,31.0,20.0,991.5,987.4,982.5,0.0,0,0,0.255278310940499,0.165067178502879,57.8,41,42.666666666666664,36.20000000000002,74.99333422198526,29.478,0.5423728813559322,4.816666666666667,1400,1038,492,508,362,False,False,True,True,False,False,False
2025-01-28,79,59,49.0,12,32,51,63,46,481,10:52 PM,7:01 AM,8467,3664,78.9,147,0.0,16.43,161,7.6,5.0,9.0,08:27,17:19,93.0,84.2,76.0,37.0,27.8,20.0,990.5,988.9,988.5,0.6,1,0,0.237006237006237,0.1309771309771309,57.4,41,36.0,31.200000000000017,79.70221686981556,28.126,0.5423728813559322,4.783333333333333,1372,1039,421,507,333,False,False,True,True,False,False,False
2025-01-29,48,63,29.0,13,31,57,43,46,463,11:03 PM,7:00 AM,9296,2765,79.45,145,2.01,0.0,27,7.2,5.0,8.0,08:25,17:21,100.0,88.6,81.0,41.0,24.4,2.0,1008.5,1000.5,989.5,0.0,2,0,0.2159827213822894,0.0928725701943844,44.7,37,33.66666666666667,20.26666666666665,84.46509306969195,12.963,0.492063492063492,3.4384615384615387,1383,1041,420,505,342,False,False,True,False,True,False,False
2025-01-30,63,61,46.0,12,31,64,21,46,345,12:57 AM,6:46 AM,6150,3313,80.0,140,0.0,26.7,109,5.2,2.0,7.0,08:24,17:23,100.0,89.5,76.0,20.0,10.9,0.0,1022.5,994.1,1000.0,0.0,3,0,0.2463768115942029,0.0608695652173913,50.7,39,23.66666666666667,23.0,74.67544011570322,23.322000000000003,0.5081967213114754,4.2250000000000005,57,1043,406,504,454,False,True,False,False,False,True,False
2025-01-31,49,60,42.0,13,31,65,50,46,517,10:52 PM,7:31 AM,10897,4166,79.7,167,0.0,15.48,241,2.2,-1.0,6.0,08:22,17:25,100.0,92.5,81.0,15.0,9.6,2.0,1031.5,1027.0,1023.5,0.0,4,0,0.2224371373307543,0.0967117988394584,45.099999999999994,40,12.0,17.666666666666657,64.95716906412954,18.941999999999997,0.5166666666666667,3.469230769230769,1372,1045,451,502,327,False,False,True,True,False,False,False
2025-02-01,49,63,36.0,12,32,79,66,61,588,10:37 PM,8:44 AM,6504,3781,79.5,151,0.0,30.43,249,1.0,-3.0,7.0,08:21,17:27,100.0,87.3,61.0,13.0,7.1,1.0,1033.5,1031.6,1028.5,0.0,5,1,0.2465986394557823,0.1122448979591836,40.9,37,8.333333333333343,34.46666666666667,49.667770431528325,14.723999999999998,0.5079365079365079,3.408333333333333,1357,1047,524,501,310,False,False,True,True,False,False,False
2025-02-02,50,59,34.0,13,30,92,153,45,618,10:14 PM,8:55 AM,8005,2981,79.5,151,0.0,9.48,76,0.0,-4.0,5.0,08:19,17:29,93.0,85.3,65.0,15.0,8.2,4.0,1028.5,1025.6,1024.5,0.0,6,1,0.3964401294498382,0.2475728155339805,45.5,41,1.6666666666666572,37.79999999999998,54.90750247177105,15.47,0.5084745762711864,3.5,1334,1049,535,499,285,False,False,True,False,False,False,True
2025-02-03,78,62,43.0,12,29,45,76,50,512,10:23 PM,7:01 AM,8010,3709,79.5,156,0.0,14.51,159,1.0,-4.0,7.0,08:17,17:31,100.0,90.5,76.0,13.0,9.8,2.0,1027.5,1026.5,1025.5,0.0,0,0,0.236328125,0.1484375,54.900000000000006,38,6.666666666666657,22.333333333333343,44.92429452713898,23.607000000000003,0.4677419354838709,4.575,1343,1051,421,497,292,False,False,True,True,False,False,False
2025-02-04,75,61,43.0,12,29,61,49,46,462,11:42 PM,7:26 AM,8130,3595,79.5,179,3.0,19.6,162,3.0,1.0,6.0,08:16,17:33,100.0,90.2,81.0,30.0,20.0,11.0,1028.5,1026.2,1025.5,0.0,1,0,0.238095238095238,0.106060606060606,54.900000000000006,39,16.666666666666657,19.200000000000017,74.83388521576416,23.607000000000003,0.4754098360655737,4.575,1422,1053,446,496,369,False,False,True,False,True,False,False
